id,cache-references,cache-misses,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,dTLB-loads,dTLB-load-misses,label,attack_type,load_level
benign_full-load_299,4533802694,671373271,120782867759,221783780817,27113688941,172209655,39062954159,3046275104,1137063990,23475737,39125182643,11141888,0,benign,full-load
benign_full-load_300,4239621536,595487307,117635590835,215720852556,26541114411,166262487,37690719071,3103416034,962887255,19421567,37683086593,7603715,0,benign,full-load
benign_full-load_301,4259831695,655714154,117058379820,219892177637,26491951412,176253975,38502400208,3039627755,922211977,24190136,38901898490,8633111,0,benign,full-load
benign_full-load_302,4507386459,698732851,118316067329,221144100943,26766603472,165307432,38856474027,3179670090,1145787893,28958466,38747354021,14407029,0,benign,full-load
benign_full-load_303,3971347186,653661434,116727156076,218949265228,26802130531,159196868,38421443037,3218441391,1063703275,24903776,37675451244,10306841,0,benign,full-load
benign_full-load_304,3923839866,730018525,121525404657,222671456213,27287660975,176119798,39486582470,3204529608,748874703,33057893,39892017797,14874607,0,benign,full-load
benign_full-load_305,5283811681,683917500,119508883083,218244848254,25879745004,188110224,37969979509,2650271772,913613401,25070200,40199209847,12301593,0,benign,full-load
benign_full-load_306,4593599712,663650609,119102136925,217353898761,26715505209,174441006,38349131038,2794977972,1075556620,27693094,39299740125,11902415,0,benign,full-load
benign_full-load_307,4751028058,693393912,121590002785,222623419416,27210450981,172893593,39305432657,2991177030,940951018,27221690,39634624995,12728225,0,benign,full-load
benign_full-load_308,3810093277,648425260,116811603876,219407317574,26915539194,158584497,38592530083,3144780189,1060838361,25562805,37963289534,9130722,0,benign,full-load
benign_full-load_309,4028205187,660332383,119387912203,220132486324,27042227113,166881286,39051163717,3268807204,916364970,24038613,38627096238,8222796,0,benign,full-load
benign_full-load_310,4576268482,675430219,119760864848,220216159208,26648748769,165763627,38507560765,3037080954,953964781,26252059,38885124965,10321329,0,benign,full-load
benign_full-load_311,4555339570,731568327,120447321242,222094505435,27185311615,156852133,39361957998,3239147737,1286727116,30794682,38558903014,15354560,0,benign,full-load
benign_full-load_312,4717178664,690037517,120506457997,222788647406,27633600988,155267074,39589300718,3289354131,1234176105,23528534,38967710146,11172823,0,benign,full-load
benign_full-load_313,4846462096,663842515,119849393128,222594097811,27447194889,161979609,39509669033,3154453918,1280553173,25268820,38749721756,9439296,0,benign,full-load
benign_full-load_314,4510243068,703188638,118830132803,222591293070,27144773719,160623575,39157207383,3248559529,1268188826,28523377,38464994492,12154929,0,benign,full-load
